block	currier	hand	joint_class	source	target	source_count	target_count	edge_count	opportunities	block_tokens	p_target_given_source	p_target_baseline	enrichment	log2_enrichment	sign
G0/generic#12	G0	generic	G0/generic	x000000	x000214	10	0	0	10	698	0.001508295626	0.0004904364885	3.075414781	1.620781	preferred
G1/generic#12	G1	generic	G1/generic	x000000	x000214	6	0	0	6	604	0.001526717557	0.0005402485143	2.825954198	1.498738083	preferred
G1/generic#13	G1	generic	G1/generic	x000000	x000214	10	3	0	10	879	0.001508295626	0.002915451895	0.5173453997	-0.9508002939	depleted
G2/generic#13	G2	generic	G2/generic	x000000	x000214	5	0	0	5	757	0.001531393568	0.0004636068614	3.303215926	1.72387128	preferred
G3/generic#13	G3	generic	G3/generic	x000000	x000214	5	4	0	5	716	0.001531393568	0.004337349398	0.3530712949	-1.501968562	depleted
G0/generic#14	G0	generic	G0/generic	x000000	x000214	5	1	0	5	805	0.001531393568	0.001331557923	1.15007657	0.201729916	preferred
G2/generic#14	G2	generic	G2/generic	x000000	x000214	12	2	0	12	845	0.001499250375	0.002143163309	0.6995502249	-0.5155004541	depleted
G3/generic#14	G3	generic	G3/generic	x000000	x000214	5	0	0	5	582	0.001531393568	0.0005534034311	2.767228178	1.468441609	preferred
G0/generic#0	G0	generic	G0/generic	x000000	x000292	6	0	0	6	648	0.001526717557	0.0005157297576	2.960305344	1.565745992	preferred
G1/generic#0	G1	generic	G1/generic	x000000	x000292	6	0	0	6	671	0.001526717557	0.0005037783375	3.030534351	1.599572196	preferred
G2/generic#0	G2	generic	G2/generic	x000000	x000292	5	0	0	5	676	0.001531393568	0.0005012531328	3.055130168	1.61123385	preferred
G3/generic#0	G3	generic	G3/generic	x000000	x000292	5	0	0	5	619	0.001531393568	0.0005316321106	2.880551302	1.526344952	preferred
G0/generic#1	G0	generic	G0/generic	x000000	x000292	5	1	0	5	667	0.001531393568	0.001517450683	1.009188361	0.01319547346	preferred
G3/generic#1	G3	generic	G3/generic	x000000	x000292	7	1	0	7	632	0.001522070015	0.001573151547	0.967529173	-0.04762293273	depleted
G1/generic#2	G1	generic	G1/generic	x000000	x000292	10	0	0	10	681	0.001508295626	0.0004987531172	3.02413273	1.596521461	preferred
G1/generic#3	G1	generic	G1/generic	x000000	x000292	8	1	0	8	814	0.001517450683	0.001321003963	1.148710167	0.200014835	preferred
G2/generic#3	G2	generic	G2/generic	x000000	x000292	10	1	0	10	719	0.001508295626	0.001441614608	1.046254399	0.0652336889	preferred
G0/generic#4	G0	generic	G0/generic	x000000	x000292	7	1	0	7	684	0.001522070015	0.001491795127	1.020294267	0.02898530526	preferred
G1/generic#4	G1	generic	G1/generic	x000000	x000292	6	0	0	6	659	0.001526717557	0.0005099439062	2.99389313	1.582022724	preferred
G2/generic#4	G2	generic	G2/generic	x000000	x000292	6	1	0	6	636	0.001526717557	0.001566579634	0.9745547074	-0.03718492033	depleted
G0/generic#5	G0	generic	G0/generic	x000000	x000292	5	0	0	5	657	0.001531393568	0.0005109862034	2.996937213	1.583488859	preferred
