scale	null_kind	metric_id	observed_delta	null_mean_delta	null_sd_delta	effect_size	p_value	n_replicates
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	cs7/edit-distance-x-structural-distance	-0.0219752	-0.0360539	0.0252513	0.557543	0.75	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	cs7/edit-distance-x-structural-distance	-0.0219752	-0.0152932	0.0317014	-0.210777	1	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	cs7/edit-distance-x-structural-distance	-0.0219752	-0.0514923	0.00346408	8.52091	0.25	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.0452294	0.387023	0.00710054	-48.1363	0.25	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	EF1_GIANT_COMPONENT_SHARE	0.0452294	0.36741	0.00556914	-57.851	0.25	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.0452294	0.377835	0.0114629	-29.0158	0.25	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	EF2_GLOBAL_CLUSTERING	0.0451505	0.00239702	0.00509724	8.38758	0.25	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	EF2_GLOBAL_CLUSTERING	0.0451505	0.00184301	0.00409664	10.5715	0.25	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	EF2_GLOBAL_CLUSTERING	0.0451505	0.00626002	0.00445905	8.7217	0.25	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.0703754	0.146553	0.0095855	-7.94714	0.25	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	EF3_DEGREE_FREQUENCY_SPEARMAN	0.0703754	0.141148	0.00958525	-7.38346	0.25	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.0703754	0.147701	0.0116725	-6.6246	0.25	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	EF1_ISOLATE_SHARE	-0.0213326	-0.164354	0.0133814	10.6881	0.25	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	EF1_ISOLATE_SHARE	-0.0213326	-0.145684	0.00875762	14.1993	0.25	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	EF1_ISOLATE_SHARE	-0.0213326	-0.165559	0.00202044	71.3836	0.25	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.0698543	0.0383395	0.0161702	-6.69094	0.25	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	LP1_RULE_SUPPORT_GINI	-0.0698543	0.0375365	0.00642363	-16.7181	0.25	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.0698543	0.0411579	0.00668241	-16.6126	0.25	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.0221171	-0.0771887	0.000912784	108.794	0.25	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	LP4_PREFIX_ATTACHMENT_NMI	0.0221171	-0.0750065	0.00391411	24.8137	0.25	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.0221171	-0.0720947	0.00349908	26.9248	0.25	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0783568	-0.0143018	0.0042227	21.943	0.25	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	LP4_SUFFIX_ATTACHMENT_NMI	0.0783568	0.00254117	0.00238183	31.8308	0.25	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0783568	-0.00739348	0.00168017	51.0366	0.25	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-11.xml	NULL_RANDOM_DELETION_MATCHED	cs7/edit-distance-x-structural-distance	0.0176883	0.0155429	0.0190435	0.112662	1	3
koeln-edd-c-119-11.xml	NULL_FREQUENCY_MATCHED_DELETION	cs7/edit-distance-x-structural-distance	0.0176883	0.0355156	0.0130886	-1.36205	0.25	3
koeln-edd-c-119-11.xml	NULL_POSITION_MATCHED	cs7/edit-distance-x-structural-distance	0.0176883	0.0120163	0.0141532	0.400763	0.75	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.0394262	0.311315	0.00524402	-51.8474	0.25	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	EF1_GIANT_COMPONENT_SHARE	0.0394262	0.300711	0.0117486	-22.2396	0.25	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.0394262	0.298418	0.0116889	-22.1571	0.25	3
