left_glyph	right_glyph	observed_count	left_opportunities	p_right_given_left	expected_count	effect_size	p_raw	q_value	observed_status	corpus_rule	inferred_status
k	m	0	10985	0	74.71538882	0	3.560565021e-33	2.378604261e-32	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
k	n	0	10985	0	436.9118432	0	0	0	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
k	o	799	10985	0.07273554848	1182.01583	0.6759638746	0	0	OBSERVED	OBSERVED	DEPLETED
k	p	0	10985	0	79.80480036	0	2.193893665e-35	1.480878224e-34	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
k	q	0	10985	0	2.474019497	0	0.08424555275	0.2143638767	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	r	1	10985	9.103322713e-05	499.3985071	0.002002408869	0	0	OBSERVED	OBSERVED	DEPLETED
k	s	216	10985	0.01966317706	194.8113639	1.108764888	0.06010326825	0.1616054682	OBSERVED	OBSERVED	EXPECTED
k	t	0	10985	0	422.2797851	0	0	0	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
k	u	0	10985	0	0.5654901708	0	0.5680816215	0.9836326705	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	v	0	10985	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	x	0	10985	0	1.413725427	0	0.2432354373	0.5262656539	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	y	769	10985	0.07000455166	1123.770342	0.6843035194	0	0	OBSERVED	OBSERVED	DEPLETED
k	z	0	10985	0	0.4948038995	0	0.6096904562	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	0	0	4659	0	0.9293716418	0	0.3948017093	0.7614032966	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	1	0	4659	0	0.6895337988	0	0.501809959	0.9007558266	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	2	0	4659	0	0.9293716418	0	0.3948017093	0.7614032966	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	3	0	4659	0	1.738824362	0	0.1757268704	0.4066821858	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	4	0	4659	0	1.139229755	0	0.3200654559	0.6421127412	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	5	0	4659	0	0.8394324507	0	0.43195561	0.806649093	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	6	0	4659	0	1.349087867	0	0.2594768301	0.549480346	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	7	0	4659	0	1.199189215	0	0.3014385146	0.6161897712	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	8	0	4659	0	0.6895337988	0	0.501809959	0.9007558266	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	9	0	4659	0	0.9293716418	0	0.3948017093	0.7614032966	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	I	0	4659	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	a	459	4659	0.09851899549	379.2435893	1.210303913	1.884759535e-05	8.115110823e-05	OBSERVED	OBSERVED	STRONGLY_PREFERRED
l	b	0	4659	0	0.4496959557	0	0.6378220483	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	c	759	4659	0.1629104958	189.3519771	4.008408107	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
l	d	497	4659	0.1066752522	285.9166887	1.738268593	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
l	e	54	4659	0.01159047006	607.3293781	0.08891386116	0	0	OBSERVED	OBSERVED	DEPLETED
l	f	40	4659	0.008585533376	11.45225701	3.492761294	4.08432177e-11	2.117312405e-10	OBSERVED	OBSERVED	STRONGLY_PREFERRED
l	g	17	4659	0.003648851685	4.107223062	4.139049607	1.607383614e-06	7.466556144e-06	OBSERVED	OBSERVED	STRONGLY_PREFERRED
l	h	0	4659	0	538.1361604	0	0	0	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
l	i	1	4659	0.0002146383344	358.0179402	0.002793156118	0	0	OBSERVED	OBSERVED	DEPLETED
l	j	0	4659	0	0.3597567646	0	0.6978460463	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
l	k	1063	4659	0.2281605495	294.101155	3.61440267	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
