target_a	target_b	control_rank	control_a	control_b	distance	js_similarity	weighted_overlap	jaccard_support_overlap	observations_a	observations_b	reliability
chol	cthy	2	shedy	sor	5	0.2090045200274988	0.13739075306797083	0.06968641114982578	433	51	1
chol	cthy	2	shedy	sor	6	0.24281055942859653	0.16854594031608022	0.05714285714285714	433	51	1
chol	cthy	2	shedy	sor	7	0.25407917081034614	0.16972331657836343	0.07342657342657342	433	51	1
chol	cthy	2	shedy	sor	8	0.2122823793934956	0.14083231445002944	0.05944055944055944	433	51	1
chol	cthy	2	shedy	sor	9	0.23918645537211214	0.1651043789340217	0.07692307692307693	433	51	1
chol	cthy	2	shedy	sor	10	0.17888532356369746	0.11311868858397865	0.058419243986254296	433	51	1
chol	cthy	2	shedy	sor	11	0.2522018799060223	0.15586650364533802	0.07317073170731707	433	51	1
chol	cthy	2	shedy	sor	12	0.23543193994887335	0.15699859620522574	0.07420494699646643	433	51	1
chol	cthy	2	shedy	sor	13	0.2775204043452123	0.1893311597156183	0.08480565371024736	433	51	1
chol	cthy	2	shedy	sor	14	0.11655983715296558	0.06928406466512702	0.04081632653061224	433	51	1
chol	cthy	2	shedy	sor	15	0.1907064753917157	0.1166055336684327	0.06802721088435375	433	51	1
chol	cthy	2	shedy	sor	16	0.31164062204655274	0.2204863469637277	0.09558823529411764	433	51	1
chol	cthy	2	shedy	sor	17	0.21279187055525128	0.14658334465425896	0.061855670103092786	433	51	1
chol	cthy	2	shedy	sor	18	0.20318233135871122	0.13394919168591227	0.058823529411764705	433	51	1
chol	cthy	2	shedy	sor	19	0.16694871854606652	0.1108092197618077	0.055944055944055944	433	51	1
chol	cthy	2	shedy	sor	20	0.24057981708571285	0.16967803287596797	0.07829181494661921	433	51	1
chol	cthy	3	sar	shey	1	0.1272035487072659	0.08550185873605946	0.05063291139240506	81	269	1
chol	cthy	3	sar	shey	2	0.31572266255615067	0.24507779154619305	0.11504424778761062	81	269	1
chol	cthy	3	sar	shey	3	0.27033845683987734	0.20670980770113365	0.10638297872340426	81	269	1
chol	cthy	3	sar	shey	4	0.2913053300959394	0.21042727982009268	0.10775862068965517	81	269	1
chol	cthy	3	sar	shey	5	0.2741550668391509	0.2104272798200927	0.10300429184549356	81	269	1
chol	cthy	3	sar	shey	6	0.2557078443750569	0.1967506539997246	0.11009174311926606	81	269	1
chol	cthy	3	sar	shey	7	0.24332705632880525	0.1956950754968103	0.07964601769911504	81	269	1
chol	cthy	3	sar	shey	8	0.2640861600258103	0.20313001973472852	0.09016393442622951	81	269	1
chol	cthy	3	sar	shey	9	0.23542731439896347	0.16343108908164677	0.10121457489878542	81	269	1
chol	cthy	3	sar	shey	10	0.18711803526013704	0.1423195190233604	0.07509881422924901	81	269	1
chol	cthy	3	sar	shey	11	0.26410632182492644	0.1943641286887879	0.0954356846473029	81	269	1
chol	cthy	3	sar	shey	12	0.24789486889377055	0.17830097755748314	0.09795918367346938	81	269	1
chol	cthy	3	sar	shey	13	0.20050698461203265	0.14484372848685115	0.07024793388429752	81	269	1
chol	cthy	3	sar	shey	14	0.28090646874774194	0.21919317086603335	0.10084033613445378	81	269	1
chol	cthy	3	sar	shey	15	0.18141150285150798	0.11629721419064663	0.06967213114754098	81	269	1
chol	cthy	3	sar	shey	16	0.2352074081642257	0.1708660333195649	0.09090909090909091	81	269	1
chol	cthy	3	sar	shey	17	0.20451920824671654	0.1424572031759144	0.07782101167315175	81	269	1
chol	cthy	3	sar	shey	18	0.27655848481952494	0.20670980770113362	0.10416666666666667	81	269	1
chol	cthy	3	sar	shey	19	0.22295781154054684	0.15971361696268763	0.09274193548387097	81	269	1
chol	cthy	3	sar	shey	20	0.20493130167216145	0.15108541006930104	0.088	81	269	1
lchedy	qokeey	1	sar	shey	1	0.12720354870726525	0.08550185873605946	0.05063291139240506	81	269	1
lchedy	qokeey	1	sar	shey	2	0.3157226625561502	0.24507779154619308	0.11504424778761062	81	269	1
lchedy	qokeey	1	sar	shey	3	0.270338456839878	0.20670980770113365	0.10638297872340426	81	269	1
lchedy	qokeey	1	sar	shey	4	0.2913053300959392	0.2104272798200927	0.10775862068965517	81	269	1
lchedy	qokeey	1	sar	shey	5	0.2741550668391508	0.21042727982009274	0.10300429184549356	81	269	1
lchedy	qokeey	1	sar	shey	6	0.2557078443750572	0.19675065399972463	0.11009174311926606	81	269	1
lchedy	qokeey	1	sar	shey	7	0.24332705632880625	0.19569507549681028	0.07964601769911504	81	269	1
lchedy	qokeey	1	sar	shey	8	0.2640861600258102	0.20313001973472852	0.09016393442622951	81	269	1
lchedy	qokeey	1	sar	shey	9	0.23542731439896292	0.1634310890816467	0.10121457489878542	81	269	1
lchedy	qokeey	1	sar	shey	10	0.18711803526013748	0.1423195190233604	0.07509881422924901	81	269	1
lchedy	qokeey	1	sar	shey	11	0.264106321824927	0.19436412868878788	0.0954356846473029	81	269	1
lchedy	qokeey	1	sar	shey	12	0.24789486889377033	0.17830097755748314	0.09795918367346938	81	269	1
