block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G3/generic#0	G0/generic#14	111	109	87	0.6541353383	0.7579987291	0
G3/generic#0	G1/generic#14	111	95	74	0.5606060606	0.726111086	0
G3/generic#0	G2/generic#14	111	97	81	0.6377952756	0.7841266273	0
G3/generic#0	G3/generic#14	111	89	77	0.6260162602	0.7656721473	0
G3/generic#0	G0/generic#15	111	93	81	0.6585365854	0.8017687307	0
G3/generic#0	G1/generic#15	111	110	83	0.6014492754	0.7044283186	0
G3/generic#0	G2/generic#15	111	108	89	0.6846153846	0.7907329872	0
G3/generic#0	G3/generic#15	111	57	54	0.4736842105	0.6359043755	0
G0/generic#1	G1/generic#1	103	86	69	0.575	0.6861660457	1
G0/generic#1	G2/generic#1	103	62	55	0.5	0.6887146947	0
G0/generic#1	G3/generic#1	103	82	74	0.6666666667	0.788903738	0
G0/generic#1	G0/generic#2	103	105	83	0.664	0.7698389262	0
G0/generic#1	G1/generic#2	103	82	64	0.5289256198	0.687481644	0
G0/generic#1	G2/generic#2	103	104	87	0.725	0.8060293458	0
G0/generic#1	G3/generic#2	103	99	84	0.7118644068	0.8413534182	0
G0/generic#1	G0/generic#3	103	110	82	0.6259541985	0.7264805567	0
G0/generic#1	G1/generic#3	103	108	89	0.7295081967	0.820258178	0
G0/generic#1	G2/generic#3	103	93	71	0.568	0.7153335514	0
G0/generic#1	G3/generic#3	103	89	77	0.6695652174	0.7838036256	0
G0/generic#1	G0/generic#4	103	88	69	0.5655737705	0.718961467	0
G0/generic#1	G1/generic#4	103	99	77	0.616	0.7388035571	0
G0/generic#1	G2/generic#4	103	111	89	0.712	0.7915228621	0
G0/generic#1	G3/generic#4	103	93	77	0.6470588235	0.7578403472	0
G0/generic#1	G0/generic#5	103	101	80	0.6451612903	0.7724607557	0
G0/generic#1	G1/generic#5	103	94	77	0.6416666667	0.7624261806	0
G0/generic#1	G2/generic#5	103	71	60	0.5263157895	0.6884818087	0
G0/generic#1	G3/generic#5	103	98	77	0.6209677419	0.7464423989	0
G0/generic#1	G0/generic#6	103	89	76	0.6551724138	0.7645705909	0
G0/generic#1	G1/generic#6	103	84	72	0.6260869565	0.7552430725	0
