source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x004928	x005005	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x006060	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x006061	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x006440	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x009464	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x009465	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x010414	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x010676	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x010705	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x000026	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x000027	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x000348	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x000408	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x004472	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x004473	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x005005	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x005739	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x006060	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x006061	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x009464	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004929	x009465	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
