mechanism	corpus	replicates	token_order_bits	token_order_ci_lo	token_order_ci_hi	edge_order_bits	weighted_entropy	giant_component_fraction	exact_adjacent_repeat_rate	h1	h2	h3	h4	position_gain_bits	order_gain_bits	adjacent_near_rate	residual_adjacency	correlation_length_tokens	cluster_stability	within_cluster_drift	line_boundary_delta	topology
M7_MIXED_K2_N20	Longfellow	5	-0.0350123039	-0.0373975834	-0.0326270244	0.00338611518	1.01214194	0	0.00135471588	4.59430918	4.50279433	4.22699797	2.81727734	-0.00120472582	0.0272082152	0.00740718346	-0.0124373746	0	0	0	0	NOT_COMPUTED
M7_MIXED_K2_N5	Astafiev	5	0.0130986398	0.00992599945	0.0162712802	0.0184805078	0.977440729	0	0.000496986359	4.59216032	4.50327483	4.35492158	3.15742493	-0.000227911395	0.0442719558	0.0183397242	-0.0146143017	0	0	0	0	NOT_COMPUTED
M7_MIXED_K2_N5	Doyle	5	-0.0555649459	-0.0566463809	-0.054483511	0.0103895797	1.0757992	0	0.000671066497	4.52586093	4.41805438	4.20037801	3.07761787	-0.000811323587	0.034181676	0.0114020163	0.0024002383	0	0	0	0	NOT_COMPUTED
M7_MIXED_K2_N5	Longfellow	5	-0.0324198297	-0.0333338313	-0.0315058281	0.00618435271	1.01224284	0	0.00110574107	4.59439957	4.50319254	4.2372014	2.86690551	-0.000654430951	0.0300708729	0.00643366792	0.00294983207	0	0	0	0	NOT_COMPUTED
M7_MIXED_K2_N80	Astafiev	5	0.0149044206	0.0107204546	0.0190883866	0.0100995493	0.97705842	0	0.000502273448	4.59162193	4.50101364	4.31839987	3.02362226	-0.000856621685	0.0372384612	0.0188831611	-0.0190441948	0	0	0	0	NOT_COMPUTED
M7_MIXED_K2_N80	Doyle	5	-0.0577354799	-0.0621967698	-0.0532741899	5.44915023e-05	1.0751229	0	0.000842992624	4.52484455	4.41261129	4.17130025	3.00776732	-0.00172659951	0.0260523936	0.0131999289	-0.0151211277	0	0	0	0	NOT_COMPUTED
M7_MIXED_K2_N80	Longfellow	5	-0.0260981004	-0.0295128094	-0.0226833913	0.0032192396	1.01157672	0	0.00143526655	4.59267134	4.49456327	4.1809503	2.71721901	-0.00272698538	0.0187999634	0.00760067723	-0.0231248195	0	0	0	0	NOT_COMPUTED
M7_MIXED_K5_N20	Astafiev	5	0.0151626731	0.0100719069	0.0202534393	0.0191395323	0.977428238	0	0.000470550915	4.59208993	4.50240961	4.35121357	3.14043146	-0.000685399853	0.0421263539	0.0186596917	-0.0173525003	0	0	0	0	NOT_COMPUTED
M7_MIXED_K5_N20	Doyle	5	-0.0628754529	-0.0639465048	-0.061804401	0.0047629336	1.07572281	0	0.000870722644	4.52589825	4.41796054	4.19735606	3.06259389	-0.000985072933	0.0323299737	0.0129307499	-0.00683048963	0	0	0	0	NOT_COMPUTED
M7_MIXED_K5_N20	Longfellow	5	-0.033131984	-0.0373508131	-0.0289131548	0.00334521256	1.01207641	0	0.00134739309	4.59428167	4.50285812	4.22804826	2.81824332	-0.000785139003	0.0264101386	0.00737695005	-0.0125643812	0	0	0	0	NOT_COMPUTED
M7_MIXED_K5_N5	Astafiev	5	0.0122513083	0.00853691302	0.0159657035	0.0169646341	0.977514399	0	0.000518134715	4.59225108	4.50367335	4.35999652	3.17035837	-0.000456124724	0.0428365602	0.0181924376	-0.0146853882	0	0	0	0	NOT_COMPUTED
M7_MIXED_K5_N5	Doyle	5	-0.0550240532	-0.0569130182	-0.0531350883	0.0103045808	1.07584156	0	0.000643336476	4.52606844	4.41903023	4.20461965	3.0841001	-0.000388686673	0.0340614227	0.0113918586	0.00242564067	0	0	0	0	NOT_COMPUTED
M7_MIXED_K5_N5	Longfellow	5	-0.0315733053	-0.0347185093	-0.0284281012	0.00577294701	1.012299	0	0.0011496778	4.59474348	4.50491623	4.2424698	2.87258239	-0.000714144402	0.0292704653	0.006469948	0.00298611215	0	0	0	0	NOT_COMPUTED
M7_MIXED_K5_N80	Astafiev	5	0.0164657021	0.0135769514	0.0193544528	0.00979656339	0.977038269	0	0.000470550915	4.59128973	4.49834508	4.31597768	3.02880675	-0.0015598182	0.0358517659	0.0187460321	-0.019328644	0	0	0	0	NOT_COMPUTED
M7_MIXED_K5_N80	Doyle	5	-0.057940604	-0.0610216021	-0.0548596058	-0.000428811886	1.07530951	0	0.00083744662	4.5251899	4.41303611	4.17200836	3.00680966	-0.0021789692	0.0269434425	0.0132557962	-0.0150703404	0	0	0	0	NOT_COMPUTED
M7_MIXED_K5_N80	Longfellow	5	-0.0269860214	-0.0320798853	-0.0218921575	0.00393572327	1.011589	0	0.00147920328	4.59317784	4.49557298	4.18146538	2.71812921	-0.00216112547	0.0176179207	0.00752207038	-0.0232578613	0	0	0	0	NOT_COMPUTED
