block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G3/generic#0	G2/generic#14	38	47	27	0.4655172414	0.6199244994	0
G3/generic#0	G3/generic#14	38	32	20	0.4	0.5037904154	0
G3/generic#0	G0/generic#15	38	48	27	0.4576271186	0.6254590443	0
G3/generic#0	G1/generic#15	38	56	30	0.46875	0.6571015522	0
G3/generic#0	G2/generic#15	38	47	31	0.5740740741	0.7066874937	0
G3/generic#0	G3/generic#15	38	12	11	0.2820512821	0.5049555473	0
G0/generic#1	G1/generic#1	40	37	26	0.5098039216	0.6758486642	0
G0/generic#1	G2/generic#1	40	32	24	0.5	0.6400269987	0
G0/generic#1	G3/generic#1	40	26	19	0.4042553191	0.5941918814	0
G0/generic#1	G0/generic#2	40	49	35	0.6481481481	0.786792159	0
G0/generic#1	G1/generic#2	40	39	28	0.5490196078	0.7049265886	0
G0/generic#1	G2/generic#2	40	41	29	0.5576923077	0.7648788516	0
G0/generic#1	G3/generic#2	40	60	35	0.5384615385	0.73316561	0
G0/generic#1	G0/generic#3	40	45	27	0.4655172414	0.6265970168	0
G0/generic#1	G1/generic#3	40	47	29	0.5	0.6666088696	0
G0/generic#1	G2/generic#3	40	44	27	0.4736842105	0.6637549099	0
G0/generic#1	G3/generic#3	40	39	28	0.5490196078	0.6834537517	0
G0/generic#1	G0/generic#4	40	34	23	0.4509803922	0.6296204394	0
G0/generic#1	G1/generic#4	40	42	26	0.4642857143	0.6006717955	0
G0/generic#1	G2/generic#4	40	37	26	0.5098039216	0.7120648229	0
G0/generic#1	G3/generic#4	40	35	25	0.5	0.6823580589	0
G0/generic#1	G0/generic#5	40	38	26	0.5	0.6622728089	0
G0/generic#1	G1/generic#5	40	31	27	0.6136363636	0.7651323321	0
G0/generic#1	G2/generic#5	40	10	10	0.25	0.5231695416	0
G0/generic#1	G3/generic#5	40	25	15	0.3	0.5190746728	0
G0/generic#1	G0/generic#6	40	40	29	0.568627451	0.6685867453	0
G0/generic#1	G1/generic#6	40	29	23	0.5	0.68908078	0
