sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000016 x000039	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	163,163	false	false	true	
x000017 x000000	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	158,267	false	false	true	
x000017 x000002	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	158,310	false	false	true	
x000018 x000005	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	197,280	false	false	true	
x000018 x000012	2	6	6	5	4	4	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	197,179	false	false	true	
x000019 x000001	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	168,305	false	false	true	
x000019 x000010	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	168,195	false	false	true	
x000020 x000013	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	162,182	false	false	true	
x000020 x000075	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	162,78	false	false	true	
x000020 x000088	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	162,83	false	false	true	
x000021 x000000	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	162,267	false	false	true	
x000021 x000012	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	162,179	false	false	true	
x000022 x000000	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	167,267	false	false	true	
x000022 x000001	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	167,305	false	false	true	
x000022 x000002	2	9	9	8	4	4	1	0.2222222222222222	2.9477027792200903	GROUP_CONSISTENT	ambiguous-transcription	167,310	false	false	true	
x000022 x000003	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	167,292	false	false	true	
x000022 x000004	2	7	7	6	3	3	1	0.2857142857142857	2.521640636343318	GROUP_CONSISTENT	ambiguous-transcription	167,296	false	false	true	
x000022 x000005	2	4	4	3	3	3	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	167,280	false	false	true	
x000022 x000006	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	167,294	false	false	true	
x000022 x000040	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	167,162	false	false	true	
x000022 x000047	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	167,95	false	false	true	
x000022 x000086	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	167,76	false	false	true	
x000023 x000000	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	149,267	false	false	true	
x000023 x000001	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	149,305	false	false	true	
x000023 x000003	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	149,292	false	false	true	
x000023 x000004	2	9	9	8	4	4	1	0.2222222222222222	2.9477027792200903	GROUP_CONSISTENT	ambiguous-transcription	149,296	false	false	true	
x000023 x000007	2	8	8	7	4	4	1	0.25	2.75	GROUP_CONSISTENT	ambiguous-transcription	149,281	false	false	true	
x000024 x000001	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	144,305	false	false	true	
x000024 x000005	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	144,280	false	false	true	
x000024 x000006	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	144,294	false	false	true	
x000024 x000089	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	144,67	false	false	true	
x000025 x000001	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	159,305	false	false	true	
x000025 x000002	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	159,310	false	false	true	
x000025 x000004	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	159,296	false	false	true	
x000025 x000005	2	6	6	6	2	2	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	159,280	false	false	true	
x000025 x000006	2	9	9	9	4	4	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	159,294	false	false	true	
x000025 x000007	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	159,281	false	false	true	
x000026 x000000	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	177,267	false	false	true	
x000026 x000002	2	7	7	6	3	3	1	0.2857142857142857	2.5216406363433186	GROUP_CONSISTENT	ambiguous-transcription	177,310	false	false	true	
x000026 x000003	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	177,292	false	false	true	
x000026 x000004	2	8	8	8	3	3	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	177,296	false	false	true	
x000026 x000005	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	177,280	false	false	true	
x000027 x000000	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	159,267	false	false	true	
x000027 x000002	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	159,310	false	false	true	
x000027 x000004	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	159,296	false	false	true	
x000027 x000005	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	159,280	false	false	true	
x000027 x000006	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	159,294	false	false	true	
x000027 x000007	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	159,281	false	false	true	
x000028 x000001	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	158,305	false	false	true	
x000028 x000002	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	158,310	false	false	true	
x000028 x000005	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	158,280	false	false	true	
x000028 x000007	2	8	8	8	3	3	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	158,281	false	false	true	
x000028 x000040	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	158,162	false	false	true	
x000028 x000042	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	158,166	false	false	true	
x000030 x000003	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	155,292	false	false	true	
x000031 x000164	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	139,43	false	false	true	
x000032 x000000	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	174,267	false	false	true	
