window_size	method	k	representation	windows	silhouette	within_dispersion	between_dispersion	cluster_size_entropy	smallest_cluster_fraction
50	hierarchical	14	raw	4059	0.02928242098850261	0.21947538125514088	0.23525362905382027	0.2784882062632162	0.001231830500123183
50	hierarchical	15	raw	4059	0.033863679816699174	0.21925694349207153	0.23555918290281994	0.30542167948642457	0.001231830500123183
100	hierarchical	2	raw	1922	0.0862669209015751	0.16960663800371445	0.18515494153248077	0.037917294532763185	0.006243496357960458
100	hierarchical	3	raw	1922	0.07749775853492558	0.16922798699076216	0.19600196069346765	0.0860177696404037	0.006243496357960458
100	hierarchical	4	raw	1922	0.03584454896488529	0.16910673643747828	0.19106322392960706	0.13404791941898703	0.006243496357960458
100	hierarchical	5	raw	1922	0.017589940918434792	0.16903379331260207	0.18738027654723624	0.15510287480663365	0.003121748178980229
100	hierarchical	6	raw	1922	0.020542657437209923	0.1687408082449277	0.18937443728257294	0.19285507465124055	0.003121748178980229
100	hierarchical	7	raw	1922	0.01627946360695317	0.16868292188317516	0.1868984122995938	0.2331664352134066	0.003121748178980229
100	hierarchical	8	raw	1922	0.010596957088873786	0.1685719091883532	0.18583518603085578	0.2708344212351702	0.003121748178980229
100	hierarchical	9	raw	1922	0.010127858816410717	0.16781732938959917	0.18433529487094472	0.3714955600743296	0.003121748178980229
100	hierarchical	10	raw	1922	0.00603885702673946	0.16781021952270467	0.1829471404832912	0.4063601498314626	0.003121748178980229
100	hierarchical	11	raw	1922	0.001547094344492463	0.16781866352572697	0.18167024120119138	0.44118945054495196	0.003121748178980229
100	hierarchical	12	raw	1922	0.003819401034661191	0.1679136560740295	0.18163915587296353	0.4444686088741292	0.003121748178980229
100	hierarchical	13	raw	1922	0.008356325138129799	0.16774477024815204	0.18180994135896147	0.4895029411156017	0.003121748178980229
100	hierarchical	14	raw	1922	0.004871445448026245	0.16764292419611093	0.1815060454541342	0.5531272152825332	0.003121748178980229
100	hierarchical	15	raw	1922	0.0067571533305995825	0.16739022444966278	0.18213438535448861	0.6052494876758255	0.003121748178980229
200	hierarchical	2	raw	853	0.17785539650039936	0.12229785348017266	0.14932766317716742	0.6786287748898456	0.41500586166471276
200	hierarchical	3	raw	853	0.11945603433537304	0.12012359371005553	0.14677226394361798	0.8888467785196891	0.06799531066822978
200	hierarchical	4	raw	853	0.12234203193995954	0.1181690768355322	0.14604283286648026	1.0503036271875086	0.0492379835873388
200	hierarchical	5	raw	853	0.11206484987313811	0.11788603824905546	0.1460101530346405	1.0773290951222916	0.011723329425556858
200	hierarchical	6	raw	853	0.1107940967773404	0.11801513831868908	0.14600673116566948	1.0852190326018842	0.004689331770222743
200	hierarchical	7	raw	853	0.07457187128111056	0.11748588061931217	0.1455837238193867	1.1311699442049283	0.004689331770222743
200	hierarchical	8	raw	853	0.08470054308352326	0.11600548080663903	0.14450524784864743	1.266725513339366	0.004689331770222743
200	hierarchical	9	raw	853	0.09273417364327365	0.11498264100783408	0.1437705142340251	1.3679632384173988	0.004689331770222743
200	hierarchical	10	raw	853	0.09311618800002125	0.11429157581449789	0.14319986359762443	1.4441579545477112	0.004689331770222743
200	hierarchical	11	raw	853	0.11004550921179777	0.11218111222216788	0.14193465284954082	1.6675071868191071	0.004689331770222743
200	hierarchical	12	raw	853	0.12012945793784661	0.11080555631722698	0.14174714143381786	1.7518350929016921	0.004689331770222743
