token	block	direction	conditional_entropy	effective_successor_predecessor_count	baseline_entropy	entropy_effect	eligible
os	1/1#0	incoming	6.275845478	531.5756276	5.215136627	1.060708852	true
otaiin	1/1#0	incoming	6.262502151	524.5297521	5.215136627	1.047365524	true
otchol	1/1#0	incoming	6.271460555	529.2498123	5.215136627	1.056323928	true
otchor	1/1#0	incoming	6.2754305	531.3550806	5.215136627	1.060293873	true
otchy	1/1#0	incoming	6.254437431	520.3165784	5.215136627	1.039300804	true
otol	1/1#0	incoming	6.269311143	528.1134581	5.215136627	1.054174517	true
otor	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
oty	1/1#0	incoming	6.266698009	526.7352282	5.215136627	1.051561382	true
qoaiin	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
qokaiin	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
qokchol	1/1#0	incoming	6.271460555	529.2498123	5.215136627	1.056323928	true
qokchy	1/1#0	incoming	6.240294743	513.0096946	5.215136627	1.025158116	true
qokol	1/1#0	incoming	6.268838004	527.8636461	5.215136627	1.053701377	true
qoky	1/1#0	incoming	6.271006512	529.0095643	5.215136627	1.055869885	true
qotchol	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
qotchy	1/1#0	incoming	6.243492426	514.6527626	5.215136627	1.028355799	true
qotol	1/1#0	incoming	6.266886539	526.8345432	5.215136627	1.051749913	true
qotor	1/1#0	incoming	6.273203889	530.173276	5.215136627	1.058067262	true
qoty	1/1#0	incoming	6.273638548	530.4037704	5.215136627	1.058501921	true
r	1/1#0	incoming	6.266215453	526.4811104	5.215136627	1.051078826	true
s	1/1#0	incoming	6.176785763	481.441998	5.215136627	0.9616491361	true
saiin	1/1#0	incoming	6.271006512	529.0095643	5.215136627	1.055869885	true
shaiin	1/1#0	incoming	6.2754305	531.3550806	5.215136627	1.060293873	true
sheey	1/1#0	incoming	6.268838004	527.8636461	5.215136627	1.053701377	true
shey	1/1#0	incoming	6.259907649	523.1706223	5.215136627	1.044771022	true
sho	1/1#0	incoming	6.212066434	498.7307815	5.215136627	0.9969298072	true
shody	1/1#0	incoming	6.273638548	530.4037704	5.215136627	1.058501921	true
shol	1/1#0	incoming	6.205185394	495.3107752	5.215136627	0.9900487675	true
shor	1/1#0	incoming	6.246791285	516.353333	5.215136627	1.031654658	true
shy	1/1#0	incoming	6.256413568	521.3458121	5.215136627	1.041276942	true
sor	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
tchol	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
tchor	1/1#0	incoming	6.273638548	530.4037704	5.215136627	1.058501921	true
tchy	1/1#0	incoming	6.259907649	523.1706223	5.215136627	1.044771022	true
ty	1/1#0	incoming	6.271460555	529.2498123	5.215136627	1.056323928	true
y	1/1#0	incoming	6.209470541	497.4378088	5.215136627	0.9943339145	true
ydaiin	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
ykchy	1/1#0	incoming	6.273203889	530.173276	5.215136627	1.058067262	true
ytol	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
dar	2/2#0	outgoing	6.282643573	535.2016402	5.990395067	0.2922485061	true
qokedy	2/2#0	outgoing	6.275845478	531.5756276	5.990395067	0.2854504112	true
s	2/2#0	outgoing	6.264732879	525.7011413	5.990395067	0.2743378116	true
ytedy	2/2#0	outgoing	6.280347619	533.974251	5.990395067	0.2899525515	true
dar	2/2#0	incoming	6.278081712	532.7656851	5.990395067	0.287686645	true
qokedy	2/2#0	incoming	6.2754305	531.3550806	5.990395067	0.2850354322	true
ytedy	2/2#0	incoming	6.2754305	531.3550806	5.990395067	0.2850354322	true
cheor	1/1#1	outgoing	6.273203889	530.173276	5.657517202	0.615686687	true
chey	1/1#1	outgoing	6.271460555	529.2498123	5.657517202	0.6139433534	true
cho	1/1#1	outgoing	6.278081712	532.7656851	5.657517202	0.6205645104	true
chol	1/1#1	outgoing	6.255840048	521.0468954	5.657517202	0.5983228462	true
chor	1/1#1	outgoing	6.267189959	526.9944191	5.657517202	0.6096727566	true
chy	1/1#1	outgoing	6.245948288	515.9182322	5.657517202	0.5884310863	true
cthol	1/1#1	outgoing	6.278081712	532.7656851	5.657517202	0.6205645104	true
daiin	1/1#1	outgoing	6.246133353	516.0137196	5.657517202	0.5886161515	true
dain	1/1#1	outgoing	6.282643573	535.2016402	5.657517202	0.6251263714	true
dar	1/1#1	outgoing	6.284969958	536.4481742	5.657517202	0.6274527557	true
dy	1/1#1	outgoing	6.273638548	530.4037704	5.657517202	0.6161213456	true
